År,Varuimport (tkr),Varuexport (tkr),Land,Import (MKr),Export (MKr)
1998,21071341,30842449,BEL,  ,30.842449
1999,21901118,30333905,BEL,21.901118,30.333905
2000,24744413,34206754,BEL,24.744413,34.206754
2001,24817686,35793841,BEL,24.817686,35.793841
2002,25524046,36952508,BEL,25.524046,36.952508
2003,28303884,37060832,BEL,28.303884,37.060832
2004,29775537,40905667,BEL,29.775537,40.905667
2005,32996685,41735887,BEL,32.996685,41.735887
2006,39324651,49827597,BEL,39.324651,49.827597
2007,42984226,52327249,BEL,42.984226,52.327249
2008,42621993,51944547,BEL,42.621993,51.944547
2009,35396414,36373364,BEL,35.396414,36.373364
2010,41485761,46052205,BEL,41.485761,46.052205
2011,44275667,54316155,BEL,44.275667,54.316155
1998,173068,432219,BGR,0.173068,0.432219
1999,184025,509918,BGR,0.184025,0.509918
2000,200730,407771,BGR,0.20073,0.407771
2001,282977,532984,BGR,0.282977,0.532984
2002,300309,472426,BGR,0.300309,0.472426
2003,328536,627692,BGR,0.328536,0.627692
2004,349287,734037,BGR,0.349287,0.734037
2005,424565,1120317,BGR,0.424565,1.120317
2006,516141,1242085,BGR,0.516141,1.242085
2007,672739,1369970,BGR,0.672739,1.36997
2008,633668,1245688,BGR,0.633668,1.245688
2009,590319,822477,BGR,0.590319,0.822477
2010,645269,906769,BGR,0.645269,0.906769
2011,849812,1047819,BGR,0.849812,1.047819
1998,38832,396645,CYP,0.038832,0.396645
1999,57252,445678,CYP,0.057252,0.445678
2000,51655,808948,CYP,0.051655,0.808948
2001,67131,633170,CYP,0.067131,0.63317
2002,65926,676091,CYP,0.065926,0.676091
2003,66852,524847,CYP,0.066852,0.524847
2004,79372,875693,CYP,0.079372,0.875693
2005,111947,434205,CYP,0.111947,0.434205
2006,272326,525163,CYP,0.272326,0.525163
2007,130989,608895,CYP,0.130989,0.608895
2008,129063,1706304,CYP,0.129063,1.706304
2009,164298,956969,CYP,0.164298,0.956969
2010,198386,448023,CYP,0.198386,0.448023
2011,249534,461790,CYP,0.249534,0.46179
1998,37939160,43001860,DNK,37.93916,43.00186
1999,41955668,42256609,DNK,41.955668,42.256609
2000,50129440,45998490,DNK,50.12944,45.99849
2001,56019297,47928543,DNK,56.019297,47.928543
2002,59047420,49095877,DNK,59.04742,49.095877
2003,62877482,52766274,DNK,62.877482,52.766274
2004,68020373,60319809,DNK,68.020373,60.319809
2005,79227486,67022067,DNK,79.227486,67.022067
2006,90610055,78339189,DNK,90.610055,78.339189
2007,94223759,83728644,DNK,94.223759,83.728644
2008,103027391,88254251,DNK,103.027391,88.254251
2009,82395826,72865240,DNK,82.395826,72.86524
2010,89032543,74741936,DNK,89.032543,74.741936
2011,93120521,74691097,DNK,93.120521,74.691097
1998,4303286,3534784,EST,4.303286,3.534784
1999,5383033,3212576,EST,5.383033,3.212576
2000,8155364,4302293,EST,8.155364,4.302293
2001,6377289,4600066,EST,6.377289,4.600066
2002,6205134,5087505,EST,6.205134,5.087505
2003,6616357,5564538,EST,6.616357,5.564538
2004,6779929,5203249,EST,6.779929,5.203249
2005,6924658,5673611,EST,6.924658,5.673611
2006,7501675,9055451,EST,7.501675,9.055451
2007,8040418,9578460,EST,8.040418,9.57846
2008,8240580,8866814,EST,8.24058,8.866814
2009,7004272,6059891,EST,7.004272,6.059891
2010,12178517,8882378,EST,12.178517,8.882378
2011,19871654,10848067,EST,19.871654,10.848067
1998,29707059,38791395,FIN,29.707059,38.791395
1999,31993066,39362504,FIN,31.993066,39.362504
2000,37725413,44197672,FIN,37.725413,44.197672
2001,35340889,43805080,FIN,35.340889,43.80508
2002,34464123,45682429,FIN,34.464123,45.682429
2003,40017154,47101816,FIN,40.017154,47.101816
2004,47345852,51627741,FIN,47.345852,51.627741
2005,50049855,58581590,FIN,50.049855,58.58159
2006,55286262,68040247,FIN,55.286262,68.040247
2007,64780639,70976691,FIN,64.780639,70.976691
2008,63527302,75645416,FIN,63.527302,75.645416
2009,47008826,63896347,FIN,47.008826,63.896347
2010,56486392,70349594,FIN,56.486392,70.349594
2011,60872534,74111858,FIN,60.872534,74.111858
1998,33840678,34432015,FRA,33.840678,34.432015
1999,35979161,37518427,FRA,35.979161,37.518427
2000,39153315,41689755,FRA,39.153315,41.689755
2001,42472486,40116701,FRA,42.472486,40.116701
